frobenius_error,diag_similarity,rewards,orthonormality_error,action_magnitudes,improvement_rate
1.0350189091208637,0.5907196295640735,-0.00039018918,9.301667646715656e-17,0.13848217,0.0
1.165558718144959,0.6313412111720083,-0.00035401617,1.0934772510695618e-16,0.12183908,-0.13053980902409523
1.2185180426112314,0.30440929789610793,-0.00042107608,9.885976377987767e-17,0.12676495,-0.052959324466272495
1.288826546424676,-0.31560476973129026,-0.00042322435,1.3134750112765865e-16,0.11082337,-0.07030850381344456
1.232929253058402,-0.7870368520763233,-0.0004343355,1.230774092603253e-16,0.11823779,0.055897293366274026
1.217144350590986,-0.9359899646652221,-0.00046465572,1.23429106561724e-16,0.11270538,0.01578490246741593
1.2508710743542748,-1.1916581538949016,-0.00044157373,1.1617268482801558e-16,0.116273396,-0.03372672376328878
1.3525660089283804,-1.2813949475094497,-0.00048909435,1.0987205535088198e-16,0.11911645,-0.10169493457410561
1.1380494963150205,-1.6259063781906997,-0.0004571313,7.770365381372023e-17,0.13065751,0.2145165126133599
1.360946552283004,-1.9988633461152099,-0.00048190972,9.158999191325595e-17,0.12336248,-0.22289705596798348
1.2380009976902935,-2.1396466562961978,-0.0004827783,1.1014755914549472e-16,0.10734123,0.1229455545927105
1.3117715348667596,-2.170464133375336,-0.00048615763,1.1896721468068414e-16,0.12228119,-0.07377053717646609
1.4297432257396339,-2.6431846525086344,-0.0005072041,1.1250397785445052e-16,0.13882408,-0.11797169087287429
1.2772488903209063,-2.8830851200392726,-0.0004835336,8.366398092770228e-17,0.1230645,0.1524943354187276
1.3527343687802516,-3.126620262149947,-0.00049967057,8.693974682775848e-17,0.09912438,-0.07548547845934528
1.4809286483912414,-3.4500990738516366,-0.00050370255,9.089629325925349e-17,0.09848737,-0.12819427961098984
1.2107461366572603,-3.259047011051053,-0.0004959947,9.214956419975941e-17,0.1251932,0.2701825117339811
1.2317586034018835,-3.472040678524455,-0.0004816612,9.9933687045855e-17,0.1250292,-0.021012466744623204
1.2232871238409033,-3.8084295385807856,-0.00048643962,8.943820371536389e-17,0.12115797,0.008471479560980155
1.3149901252851082,-3.72245411758919,-0.0005075944,1.158767578158931e-16,0.12570448,-0.09170300144420485
1.3989769825186056,-3.779094317678103,-0.00052157865,1.0655160369653306e-16,0.11666047,-0.08398685723349741
1.125068564728653,-3.6053817191478252,-0.00049331994,1.3972097216347608e-16,0.11265537,0.2739084177899527
1.3627511130814491,-3.60602538827815,-0.0005248471,1.2121113519846088e-16,0.11172141,-0.23768254835279623
1.2006929395119879,-3.5373452613658936,-0.00048698176,8.494649518818683e-17,0.10312882,0.16205817356946128
1.2244383868499016,-3.64713788478815,-0.0005114509,8.179250270680948e-17,0.12372861,-0.023745447337913728
1.252646672334747,-3.6797608696309325,-0.0005292832,1.105042996882445e-16,0.12074992,-0.02820828548484533
1.2916918433239506,-3.3921948584277866,-0.0005583501,9.58817937113618e-17,0.1318237,-0.03904517098920368
1.258748832992793,-3.397329461055514,-0.0005139174,1.0782508587315823e-16,0.114886075,0.03294301033115765
1.330043733958528,-3.7306443044357414,-0.00054853334,1.2852074345271883e-16,0.12212739,-0.0712949009657351
